"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 26 12:07:41 IST 2022","Sat Mar 26 12:07:45 IST 2022","3895","","AmazonTry","","AmazonTry","Search iphone 11 and sort by customer reviews","Search iphone 11 and sort by customer reviews",""
"passed","Sun Apr 17 12:51:45 IST 2022","Sun Apr 17 12:52:00 IST 2022","14611","","Check The Function Of Hamburger Menu","","Check The Function Of Hamburger Menu","mghhj","mghhj",""
"skipped","Thu Mar 24 13:03:00 IST 2022","Thu Mar 24 13:03:00 IST 2022","0","","Home","","Home","Validaten the count on cart","Validaten the count on cart",""
"broken","Fri Mar 25 23:22:31 IST 2022","Fri Mar 25 23:22:31 IST 2022","64","","AmazonTry","","AmazonTry","select lang","select lang",""
"passed","Fri Apr 15 21:42:05 IST 2022","Fri Apr 15 21:42:33 IST 2022","28371","","Validate the Some of function","","Validate the Some of function","Check fot the Subscription plan and getScreenShot","Check fot the Subscription plan and getScreenShot",""
"broken","Mon Mar 28 11:48:30 IST 2022","Mon Mar 28 11:49:19 IST 2022","48849","","AmazonTry","","AmazonTry","Select 2No of Quantity","Select 2No of Quantity",""
"passed","Fri Mar 25 23:48:46 IST 2022","Fri Mar 25 23:48:47 IST 2022","736","","Home","","Home","Open Url And Asser the title","Open Url And Asser the title",""
"passed","Thu Mar 24 07:59:00 IST 2022","Thu Mar 24 07:59:00 IST 2022","17","","Home","","Home","Get the UserName and Password from the Section ","Get the UserName and Password from the Section ",""
"passed","Tue Apr 19 15:19:36 IST 2022","Tue Apr 19 15:19:59 IST 2022","23116","","Check function of the home page","","Check function of the home page","List of news in breaking news section","List of news in breaking news section",""
"passed","Mon Apr 18 13:38:55 IST 2022","Mon Apr 18 13:38:56 IST 2022","332","","Function of the subscription page","","Function of the subscription page","KJCVD","KJCVD",""
"passed","Sun Apr 17 10:34:05 IST 2022","Sun Apr 17 10:34:19 IST 2022","14049","","Check the Sign In Functions","","Check the Sign In Functions","Every Credential are empty","Every Credential are empty",""
"broken","Tue Apr 19 13:09:53 IST 2022","Tue Apr 19 13:09:53 IST 2022","83","","Function of the subscription page","","Function of the subscription page","Sign up process WithOut Any Data Passing","Sign up process WithOut Any Data Passing",""
"broken","Thu Mar 24 11:57:28 IST 2022","Thu Mar 24 11:57:28 IST 2022","24","","Home","","Home","Validaten the count on cart","Validaten the count on cart",""
"passed","Fri Mar 25 23:48:49 IST 2022","Fri Mar 25 23:48:49 IST 2022","10","","Home","","Home","Validate the count in the cart page","Validate the count in the cart page",""
"broken","Tue Apr 19 13:16:20 IST 2022","Tue Apr 19 13:16:20 IST 2022","1","","Check the Sign In Functions","","Check the Sign In Functions","Function Of InValidUserName And InValidPassword","Function Of InValidUserName And InValidPassword",""
"broken","Mon Mar 28 11:50:08 IST 2022","Mon Mar 28 11:50:57 IST 2022","48814","","AmazonTry","","AmazonTry","Make as a gift","Make as a gift",""
"passed","Fri Mar 25 23:46:26 IST 2022","Fri Mar 25 23:46:27 IST 2022","1778","","AmazonTry","","AmazonTry","s","s",""
"broken","Mon Mar 28 11:47:46 IST 2022","Mon Mar 28 11:48:30 IST 2022","44509","","AmazonTry","","AmazonTry","Going to new Release and buy top model","Going to new Release and buy top model",""
"broken","Tue Apr 19 13:16:20 IST 2022","Tue Apr 19 13:16:20 IST 2022","3","","Check the Sign In Functions","","Check the Sign In Functions","empty Password","empty Password",""
"passed","Tue Apr 19 17:54:35 IST 2022","Tue Apr 19 17:54:46 IST 2022","11714","","Function of the subscription page and SignUp Page","","Function of the subscription page and SignUp Page","Sign up process WithOut Any Data Passing","Sign up process WithOut Any Data Passing",""
"broken","Tue Apr 19 13:09:53 IST 2022","Tue Apr 19 13:09:53 IST 2022","45","","Function of the subscription page","","Function of the subscription page","SignUp Process with exisiting MailId ","SignUp Process with exisiting MailId ",""
